Ticker,Ticker,Name,Name,YahooSymbol,YahooSymbol,ISIN,ISIN,cycle,cycle,ScoreMarketRegime,ScoreMarketRegime,ScoreAssetClass,ScoreAssetClass,ScoreRiskMult,ScoreRiskMult,ScoreMarketTrend200,ScoreMarketTrend200,ScoreError,ScoreError,score,confidence,trend200,trend_ok,dollar_volume,liquidity_ok,ScoreStatus,IsCrypto
JD,KLAC,JD.COM ADR,KLA Corporation,JD,KLAC,US47215P1066,US4824801009,0.0,0.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,26.68,62.8,0.44918143200539107,True,1823518812.0693603,True,OK,False
KLAC,LRCX,KLA Corporation,Lam Research Corporation,KLAC,LRCX,US4824801009,US5128073062,0.0,0.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,27.15,63.3,0.6390304902512853,True,2717121694.6780396,True,OK,False
LRCX,MELI,Lam Research Corporation,MercadoLibre Inc.,LRCX,MELI,US5128073062,US58733R1023,0.0,20.4,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,21.05,47.9,-0.19976602331857984,False,695855575.7,True,OK,False
MELI,META,MercadoLibre Inc.,META PLATFORMS INC,MELI,META,US58733R1023,US30303M1027,0.0,39.9,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,25.96,68.9,-0.09851246482821541,False,9435230467.875,True,OK,False
META,MSFT,META PLATFORMS INC,MICROSOFT DL,META,MSFT,US30303M1027,US5949181045,0.0,43.2,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,29.72,64.3,-0.10425360022038099,False,14451054619.223185,True,OK,False
MSFT,MU,MICROSOFT DL,MICRON TECHNOLOGY INC,MSFT,MU,US5949181045,US5951121038,0.0,0.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,37.02,72.7,1.4771272190281866,True,29303681830.492233,True,OK,False
MU,NVDA,MICRON TECHNOLOGY INC,NVIDIA CORP.,MU,NVDA,US5951121038,US67066G1040,0.0,73.6,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,37.88,74.5,0.16903764264009058,True,31718823007.675076,True,OK,False
NVDA,NXP,NVIDIA CORP.,NXP SEMICONDUCTORS NV,NVDA,NXP,US67066G1040,NL0009538784,0.0,100.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,23.94,43.9,0.018067818452715656,True,2297865.7907049176,False,OK,False
NXP,ON,NXP SEMICONDUCTORS NV,ON SEMICOND.,NXP,ON,NL0009538784,US6821891057,0.0,88.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,19.06,55.7,0.7228031012508251,True,1320457322.3143387,True,OK,False
ON,ORCL,ON SEMICOND.,ORACLE CORP,ON,ORCL,US6821891057,US68389X1054,0.0,57.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,24.25,48.8,-0.06553949596651043,False,6466497131.017779,True,OK,False
ORCL,SAP.DE,ORACLE CORP,SAP SE O.N.,ORCL,SAP.DE,US68389X1054,DE0007164600,0.0,68.8,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,16.55,48.8,-0.25988151232126144,False,425880499.44656754,True,OK,False
PLTR,SNOW,PALANTIR TECHN.,SNOWFLAKE INC. A,PLTR,SNOW,US69608A1088,US8334451098,0.0,55.9,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,9.71,37.1,-0.28389244308291506,False,1092808209.3277817,True,OK,False
SAP.DE,TSMN.MX,SAP SE O.N.,TAIWAN SEMICON.MANU.ADR/5,SAP.DE,TSMN.MX,DE0007164600,US8740391003,0.0,81.8,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,37.34,71.4,0.2834032432128204,True,16793733.25,True,OK,False
SNOW,TTAN,SNOWFLAKE INC. A,ServiceTitan,SNOW,TTAN,US8334451098,US81764X1037,0.0,26.4,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,11.63,45.8,-0.29916277156142734,False,64907566.981865495,True,OK,False
TSMN.MX,ZETA,TAIWAN SEMICON.MANU.ADR/5,ZETA GLOBAL,TSMN.MX,ZETA,US8740391003,US98956A1051,0.0,24.7,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,23.07,40.3,-0.08166568109133376,False,141678069.91397837,True,OK,False
TTAN,0857.HK,ServiceTitan,PETROCHINA CO.,TTAN,0857.HK,US81764X1037,CNE1000003W8,0.0,69.6,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,29.08,62.5,0.221100003404056,True,1440980519.099623,True,OK,False
ZETA,3750.HK,ZETA GLOBAL,CONT.AMPEREX (CATL),ZETA,3750.HK,US98956A1051,CNE100006WS8,0.0,82.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,33.28,73.6,0.26441229201794725,True,4086662199.9,True,OK,False
0857.HK,ALB,PETROCHINA CO.,ALBEMARLE CORP.,0857.HK,ALB,CNE1000003W8,US0126531013,0.0,25.2,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,19.74,53.9,0.4840175281574912,True,429866956.65000004,True,OK,False
3750.HK,CCJ,CONT.AMPEREX (CATL),CAMECO CORP.,3750.HK,CCJ,CNE100006WS8,CA13321L1085,0.0,23.1,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,21.44,48.4,0.1937403107664235,True,371646146.1836067,True,OK,False
ALB,CVX,ALBEMARLE CORP.,CHEVRON CORP,ALB,CVX,US0126531013,US1667641005,0.0,80.8,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,23.4,52.7,0.09825709509319092,True,1750938274.0768898,True,OK,False
CCJ,ENR.DE,CAMECO CORP.,SIEMENS ENERGY,CCJ,ENR.DE,CA13321L1085,DE000ENER6Y0,0.0,86.5,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,19.77,53.9,0.4287030500219646,True,445598835.57955927,True,OK,False
CVX,ETN,CHEVRON CORP,Eaton Corporation plc,CVX,ETN,US1667641005,IE00B8KQN827,0.0,0.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,26.21,52.0,0.10594921044615013,True,1066355339.846112,True,OK,False
ENR.DE,FLNC,SIEMENS ENERGY,FLUENCE ENER.,ENR.DE,FLNC,DE000ENER6Y0,US34379V1035,0.0,3.7,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,19.48,44.2,0.547525278697014,True,204217089.92700577,True,OK,False
ETN,FSLR,Eaton Corporation plc,FIRST SOLAR INC,ETN,FSLR,IE00B8KQN827,US3364331070,,31.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,26.21,54.0,-0.031594088966297895,False,527159996.7190705,True,OK,False
FLNC,KEP,FLUENCE ENER.,KOREA EL. PWR ADR 1/2,FLNC,KEP,US34379V1035,US5006311063,0.0,12.6,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,26.15,26.0,-0.04793761615169001,False,8214152.150839615,True,OK,False
FSLR,OXY,FIRST SOLAR INC,OCCIDENTAL PET.,FSLR,OXY,US3364331070,US6745991058,0.0,75.7,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,18.46,56.1,0.14413438834142878,True,685545850.9103432,True,OK,False
KEP,SU.PA,KOREA EL. PWR ADR 1/2,Schneider Electric S.E.,KEP,SU.PA,US5006311063,FR0000121972,0.0,0.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,26.6,49.6,0.13740340784341787,True,256343788.29811096,True,OK,False
NEE,XOM,"NextEra Energy, Inc.",EXXON MOBIL CORP,NEE,XOM,US65339F1012,US30231G1022,,91.8,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,24.2,53.2,0.1334600334790259,True,2367794637.5541253,True,OK,False
OXY,XSDG.F,OCCIDENTAL PET.,SAMSUNG SDI,OXY,XSDG.F,US6745991058,US7960542030,0.0,36.7,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,17.19,48.7,1.0489801499648048,True,965796.8450538636,False,OK,False
SU.PA,2899.HK,Schneider Electric S.E.,ZIJIN MINING,SU.PA,2899.HK,FR0000121972,CNE100000502,,53.8,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,27.6,51.3,0.15458998718897465,True,2006347728.0,True,OK,False
UEC,AAGFF,URANIUM ENERGY CORP,AFTERMATH SILVER,UEC,AAGFF,US9168961038,CA00831V2057,0.0,32.9,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,5.55,25.2,-0.06910519080932831,False,272083.2736417651,False,OK,False
XOM,ABX.TO,EXXON MOBIL CORP,BARRICK MINING,XOM,ABX.TO,US30231G1022,CA06849F1080,0.0,31.3,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,31.91,64.0,0.1190340218860344,True,200793134.68642923,True,OK,False
XSDG.F,AEM,SAMSUNG SDI,AGNICO EAGLE,XSDG.F,AEM,US7960542030,CA0084741085,0.0,50.1,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,38.65,60.4,0.06897303530907184,True,419100210.7408562,True,OK,False
YCA.L,AG.TO,YELLOW CAKE PLC,FIRST MAJESTIC,YCA.L,AG.TO,JE00BF50RG45,CA32076V1031,0.0,36.4,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,31.68,43.8,0.2692403434380388,True,45188790.04520474,True,OK,False
2899.HK,AGI.TO,ZIJIN MINING,ALAMOS GOLD,2899.HK,AGI.TO,CNE100000502,CA0115321089,0.0,100.0,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,28.88,57.3,0.12054151347048037,True,54453839.58273774,True,OK,False
AAGFF,ASM.TO,AFTERMATH SILVER,AVINO SILVER,AAGFF,ASM.TO,CA00831V2057,CA0539061030,0.0,36.8,bull,bull,stock,stock,,,0.09836502619881626,0.09836502619881626,,,31.8,42.6,0.10639674647647834,True,7957122.737932205,True,OK,False
