date,symbol,name,score,opportunity,risk,confidence,confidence_label,rs3m,trend200,liquidity_risk,volatility,drawdown,roe,growth,margin,debt_ratio,close,currency,sector,market_regime_stock,market_regime_crypto,market_trend200_stock,market_trend200_crypto,run_id,universe_version,config_version
2026-02-10,US91324P1021,UNITEDHEALTH,46.82,,,,,-0.186505,-0.144435,,0.032366,0.600551,12.54,12.3,2.69,77.08,273.11,USD,Pharma & Gesundheit,bull,bear,0.074825,-0.325032,,,
2026-02-10,BRVALEACNOR0,VALE S.A.,46.16,,,,,0.367402,0.486284,,0.014652,0.153912,13.27,7.0,14.15,50.201,87.26,BRL,Fundament,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA92859G6085,VIZSLA SILVER,34.66,,,,,-0.100433,-0.002993,,0.041205,0.407127,-3.22,0.0,0.0,100.0,5.53,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA9628791027,WHEATON PREC.,101.4,,,,,0.334727,0.375256,,0.02389,0.171068,13.05,54.5,54.72,0.099,196.03,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,KYG9830T1067,XIAOMI CORP. CL.B,59.6,,,,,-0.194611,-0.266004,,0.029219,0.435412,19.86,22.3,9.82,10.389,35.58,HKD,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,YASKY,YASKAWA EL. CORP.,18.34,,,,,0.310986,0.423909,,0.031532,0.367667,0.0,0.0,6.87,24.901,70.91,USD,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,JE00BF50RG45,YELLOW CAKE PLC,26.82,,,,,0.175275,0.189769,,0.023781,0.195498,-0.45,0.0,-153.91,100.0,640.0,GBp,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,US98956A1051,ZETA GLOBAL,83.57,,,,,-0.154493,-0.022582,,0.046695,0.553665,-3.92,25.7,-1.86,30.196,17.17,USD,Medien & Digitales 📱,bull,bear,0.074825,-0.325032,,,
2026-02-10,CNE100000502,ZIJIN MINING,59.46,,,,,0.240912,0.525002,,0.029007,0.226537,28.01,8.1,13.91,74.84,42.32,HKD,Fundament,bull,bear,0.074825,-0.325032,,,
2026-02-10,VOW3.DE,Volkswagen AG Vz.,37.16,,,,,0.091819,0.084051,,0.017697,0.238856,3.58,2.3,2.26,130.129,104.55,EUR,Andere 🌐,bull,bear,0.074825,-0.325032,,,
2026-02-10,ADA-EUR,CARDANO (KRYPTO),20.66,,,,,-0.489649,-0.569568,,0.058642,0.808311,0.0,0.0,0.0,100.0,0.22,EUR,Krypto 🪙,bull,bear,0.074825,-0.325032,,,
2026-02-10,DOGE-EUR,DOGECOIN (KRYPTO),20.22,,,,,-0.421295,-0.496814,,0.048524,0.710626,0.0,0.0,0.0,100.0,0.08,EUR,Krypto 🪙,bull,bear,0.074825,-0.325032,,,
2026-02-10,SOL-EUR,SOLANA (KRYPTO),20.46,,,,,-0.448569,-0.51042,,0.044706,0.683931,0.0,0.0,0.0,100.0,69.49,EUR,Krypto 🪙,bull,bear,0.074825,-0.325032,,,
2026-02-10,XRP-EUR,XRP (KRYPTO),21.34,,,,,-0.386461,-0.435224,,0.044862,0.661083,0.0,0.0,0.0,100.0,1.18,EUR,Krypto 🪙,bull,bear,0.074825,-0.325032,,,
2026-02-10,META,META PLATFORMS INC,66.94,,,,,0.045156,-0.023045,,0.025072,0.341508,30.24,23.8,30.08,39.164,670.72,USD,Tech 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,XOM,EXXON MOBIL CORP,42.49,,,,,0.269794,0.33234,,0.015441,0.160534,11.08,-1.3,8.9,16.329,151.57,USD,Energie ⚡,bull,bear,0.074825,-0.325032,,,
2026-02-10,ORCL,ORACLE CORP,61.75,,,,,-0.364687,-0.271691,,0.038804,0.582499,69.03,14.2,25.28,432.511,159.85,USD,Tech 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,MU,MICRON TECHNOLOGY INC,61.1,,,,,0.534884,0.98998,,0.040276,0.393162,22.55,56.7,28.15,21.244,373.25,USD,Tech 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,CVX,CHEVRON CORP,39.99,,,,,0.154165,0.208895,,0.015783,0.206397,7.16,-6.0,6.61,21.239,182.24,USD,Energie ⚡,bull,bear,0.074825,-0.325032,,,
2026-02-10,PM,PHILIP MORRIS INTERNATIONAL INC,38.55,,,,,0.166733,0.113683,,0.015494,0.206364,0.0,6.8,27.92,100.0,182.6,USD,Konsum 🚬,bull,bear,0.074825,-0.325032,,,
2026-02-10,ISRG,INTUITIVE SURGICAL INC,45.36,,,,,-0.150358,-0.041123,,0.02239,0.293995,16.69,18.8,28.38,0.953,495.15,USD,Pharma 🧪,bull,bear,0.074825,-0.325032,,,
2026-02-10,BLK,BLACKROCK INC,60.87,,,,,-0.024636,0.018362,,0.017652,0.174681,10.69,23.4,22.93,24.32,1087.64,USD,Finanzen 🏦,bull,bear,0.074825,-0.325032,,,
2026-02-10,SYK,STRYKER CORP,46.62,,,,,-0.017788,-0.032748,,0.013896,0.145419,15.08,11.4,12.92,66.276,361.1,USD,Pharma 🧪,bull,bear,0.074825,-0.325032,,,
2026-02-10,VALE,VALE SA,45.59,,,,,0.344458,0.489753,,0.019335,0.189401,13.27,7.0,14.15,50.201,16.75,USD,Mining ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,NXP,NXP SEMICONDUCTORS NV,18.19,,,,,-0.018926,0.03342,,0.004511,0.082835,1.13,9.1,24.21,100.0,14.4,USD,Tech 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,BIDU,BAIDU INC,51.8,,,,,0.137722,0.326899,,0.031005,0.25022,3.08,-7.1,6.9,33.81,147.66,USD,Tech 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,OXY,OCCIDENTAL PETROLEUM CORP,41.76,,,,,0.091899,0.077648,,0.023559,0.303237,5.96,-7.7,8.17,62.221,46.26,USD,Energie ⚡,bull,bear,0.074825,-0.325032,,,
2026-02-10,TME,TENCENT MUSIC ENTERTAINMENT GROUP,68.76,,,,,-0.240852,-0.153852,,0.03024,0.39909,14.79,20.6,34.08,4.524,16.89,USD,Tech 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,KEP,KOREA ELECTRIC POWER CORP,106.39,,,,,0.335688,0.441436,,0.031706,0.15587,19.12,5.6,8.47,279.916,20.91,USD,Energie ⚡,bull,bear,0.074825,-0.325032,,,
2026-02-10,ON,ON SEMICONDUCTOR CORP,56.36,,,,,0.374185,0.296092,,0.037033,0.426803,1.5,-11.2,2.02,39.064,67.38,USD,Tech 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,INCY,INCYTE CORP,57.13,,,,,-0.090509,0.177795,,0.022389,0.258468,30.39,20.0,24.7,0.887,100.05,USD,Pharma 🧪,bull,bear,0.074825,-0.325032,,,
2026-02-10,PKX,POSCO HOLDINGS INC,64.09,,,,,0.196326,0.218431,,0.026449,0.255735,0.81,-5.4,0.95,45.676,63.74,USD,Mining ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,SNN,SMITH & NEPHEW PLC,32.06,,,,,0.030146,0.07499,,0.019046,0.16887,9.14,4.7,8.26,62.392,35.38,USD,Pharma 🧪,bull,bear,0.074825,-0.325032,,,
2026-02-10,UEC,URANIUM ENERGY CORP,12.65,,,,,0.302331,0.481407,,0.048187,0.433428,-7.29,0.0,-156.46,0.147,16.31,USD,Mining ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,QS,QUANTUMSCAPE CORP,18.75,,,,,-0.496649,-0.094145,,0.065152,0.579176,-38.65,0.0,0.0,6.004,8.94,USD,Industrie/Auto 🚗,bull,bear,0.074825,-0.325032,,,
2026-02-10,FLNC,FLUENCE ENERGY INC,-6.99,,,,,-0.121135,0.43567,,0.069937,0.509511,-14.46,154.4,-2.04,82.778,18.99,USD,Energie ⚡,bull,bear,0.074825,-0.325032,,,
2026-02-10,CSTM,CONSTELLIUM SE,26.15,,,,,0.521984,0.572692,,0.032369,0.372453,12.18,20.2,1.42,247.045,24.64,USD,Mining ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,NRDS,NERDWALLET INC,52.86,,,,,-0.281622,-0.119196,,0.036542,0.44206,20.23,12.4,9.22,3.554,10.27,USD,Finanzen 🏦,bull,bear,0.074825,-0.325032,,,
2026-02-10,LGO,LARGO INC,67.54,,,,,0.50673,0.250279,,0.057285,0.646825,-38.41,11.2,-57.33,77.781,1.68,USD,Mining ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,KO,Coca-Cola,50.41,,,,,0.061895,0.106137,,0.010738,0.098185,42.44,5.1,27.34,144.771,76.82,USD,Konsum 🥤,bull,bear,0.074825,-0.325032,,,
