yahoo_symbol,sector,industry,country,currency,long_name,fetched_at
NRDS,Communication Services,Internet Content & Information,United States,USD,"NerdWallet, Inc.",2026-02-14T19:59:48Z
LGO,Basic Materials,Other Industrial Metals & Mining,Canada,USD,Largo Inc.,2026-02-14T19:59:50Z
KO,Consumer Defensive,Beverages - Non-Alcoholic,United States,USD,The Coca-Cola Company,2026-02-14T19:59:51Z
JNJ,Healthcare,Drug Manufacturers - General,United States,USD,Johnson & Johnson,2026-02-14T19:59:52Z
PG,Consumer Defensive,Household & Personal Products,United States,USD,The Procter & Gamble Company,2026-02-14T19:59:54Z
ABT,Healthcare,Medical Devices,United States,USD,Abbott Laboratories,2026-02-14T19:59:55Z
PEP,Consumer Defensive,Beverages - Non-Alcoholic,United States,USD,"PepsiCo, Inc.",2026-02-14T19:59:57Z
HMY,Basic Materials,Gold,South Africa,USD,Harmony Gold Mining Company Limited,2026-02-14T19:59:58Z
RHM.DE,Industrials,Aerospace & Defense,Germany,EUR,Rheinmetall AG,2026-02-14T19:59:59Z
STLA,Consumer Cyclical,Auto Manufacturers,Netherlands,USD,Stellantis N.V.,2026-02-14T20:00:01Z
SMX,Industrials,Specialty Business Services,Ireland,USD,SMX (Security Matters) Public Limited Company,2026-02-14T20:00:02Z
DVLT,Technology,Software - Infrastructure,United States,USD,Datavault AI Inc.,2026-02-14T20:00:03Z
PGY,Technology,Software - Infrastructure,United States,USD,Pagaya Technologies Ltd.,2026-02-14T20:00:04Z
MELI,Consumer Cyclical,Internet Retail,Uruguay,USD,"MercadoLibre, Inc.",2026-02-14T20:00:06Z
TSLA,Consumer Cyclical,Auto Manufacturers,United States,USD,"Tesla, Inc.",2026-02-14T20:00:07Z
CDNL,Industrials,Engineering & Construction,United States,USD,Cardinal Infrastructure Group Inc.,2026-02-14T20:00:08Z
RCAT,Industrials,Aerospace & Defense,United States,USD,"Red Cat Holdings, Inc.",2026-02-14T20:00:09Z
TTAN,Technology,Software - Application,United States,USD,"ServiceTitan, Inc.",2026-02-14T20:00:11Z
APLD,Technology,Information Technology Services,United States,USD,Applied Digital Corporation,2026-02-14T20:00:12Z
MBLY,Consumer Cyclical,Auto Parts,Israel,USD,Mobileye Global Inc.,2026-02-14T20:00:13Z
FIGR,Financial Services,Capital Markets,United States,USD,"Figure Technology Solutions, Inc.",2026-02-14T20:00:14Z
GMED,Healthcare,Medical Devices,United States,USD,"Globus Medical, Inc.",2026-02-14T20:00:15Z
TEM,Healthcare,Health Information Services,United States,USD,"Tempus AI, Inc.",2026-02-14T20:00:17Z
PPTA,Basic Materials,Other Precious Metals & Mining,United States,USD,Perpetua Resources Corp.,2026-02-14T20:00:18Z
AAPL,Technology,Consumer Electronics,United States,USD,Apple Inc.,2026-02-14T20:00:19Z
BTC-USD,,,,USD,Bitcoin USD,2026-02-14T20:00:20Z
ETH-USD,,,,USD,Ethereum USD,2026-02-14T20:00:22Z
ADA-USD,,,,USD,Cardano USD,2026-02-14T20:00:23Z
BMG0670A1099,Technology,Computer Hardware,Norway,NOK,AutoStore Holdings Ltd.,2026-02-14T20:00:24Z
DE0005140008,Financial Services,Banks - Regional,Germany,EUR,Deutsche Bank Aktiengesellschaft,2026-02-14T20:00:25Z
US88160R1014,Consumer Cyclical,Auto Manufacturers,United States,USD,"Tesla, Inc.",2026-02-14T20:00:26Z
US14154A1025,Industrials,Engineering & Construction,United States,USD,Cardinal Infrastructure Group Inc.,2026-02-14T20:00:27Z
US75644T1007,Industrials,Aerospace & Defense,United States,USD,"Red Cat Holdings, Inc.",2026-02-14T20:00:28Z
US81764X1037,Technology,Software - Application,United States,USD,"ServiceTitan, Inc.",2026-02-14T20:00:29Z
US0381692070,Technology,Information Technology Services,United States,USD,Applied Digital Corporation,2026-02-14T20:00:30Z
US60741F1049,Consumer Cyclical,Auto Parts,Israel,USD,Mobileye Global Inc.,2026-02-14T20:00:31Z
US3493811034,Financial Services,Capital Markets,United States,USD,"Figure Technology Solutions, Inc.",2026-02-14T20:00:32Z
US3795772082,Healthcare,Medical Devices,United States,USD,"Globus Medical, Inc.",2026-02-14T20:00:33Z
US88023B1035,Healthcare,Health Information Services,United States,USD,"Tempus AI, Inc.",2026-02-14T20:00:34Z
CA7142661031,Basic Materials,Other Precious Metals & Mining,United States,CAD,Perpetua Resources Corp.,2026-02-14T20:00:35Z
