date,symbol,name,score,opportunity,risk,confidence,confidence_label,rs3m,trend200,cycle,close,currency,sector,pillar_primary,cluster_official,bucket_type,volatility,drawdown,roe,growth,margin,debt_ratio,market_regime_stock,market_regime_crypto,market_trend200_stock,market_trend200_crypto,r_code,run_id,scoring_version,rank,universe_size,rank_percentile,observation_type,data_source,as_of,generated_at,snapshot_id,schema_version
2026-09-20,CRWV,"COREWEAVE, INC.",15.25,44.05,63.71,39.8,LOW,-0.29471838600766553,-0.11639626740180364,0.0,81.36000061035156,USD,Technology,S2 Gehirn,Software - Infrastructure,pillar,0.9556944951351795,0.5749231275056945,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,155,198,0.7828282828282829,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,IREN,IREN LIMITED,16.65,47.19,66.78,39.7,LOW,-0.2049619405880767,0.02501099915382321,0.0,46.68000030517578,USD,Financial Services,S2 Gehirn,Capital Markets,pillar,1.0997050809282465,0.6164114898416528,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,146,198,0.7373737373737373,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,PATH,"UIPATH, INC.",23.02,54.45,58.91,43.2,LOW,0.29213206534517355,0.03726085268259283,0.0,13.390000343322754,USD,Technology,S2 Gehirn,Software - Infrastructure,pillar,0.7092600508082818,0.5137377050671597,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,90,198,0.45454545454545453,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,SE,SEA LIMITED,21.95,51.95,56.29,48.6,LOW,0.11741269454223024,-0.024934613568240116,0.0,101.79000091552734,USD,Consumer Cyclical,S2 Gehirn,Internet Retail,pillar,0.5118395263385646,0.5949419519972874,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,98,198,0.494949494949495,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,TE,T1 ENERGY INC.,10.63,40.68,75.32,34.6,LOW,-0.6248198135616047,-0.36452784325429,0.0,4.170000076293945,USD,Industrials,S3 Energie,Electrical Equipment & Parts,pillar,1.3292243353248576,0.6910298969770345,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R1,github-35528192164-1,v1,183,198,0.9242424242424242,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,TTD,"THE TRADE DESK, INC.",14.33,42.24,62.5,43.5,LOW,-0.25330636170873755,-0.417601852927304,0.0,13.920000076293945,USD,Communication Services,S2 Gehirn,Advertising Agencies,pillar,0.5652211282934568,0.7592832167770566,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,158,198,0.797979797979798,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,GRAB,GRAB HOLDINGS LIMITED,17.59,43.05,49.5,41.9,LOW,-0.22492175554010618,-0.2909465475225723,0.0,2.7950000762939453,USD,Technology,S15 Mobilität,Software - Application,pillar,0.3702540537203843,0.5666666420239188,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,138,198,0.696969696969697,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,MCD,MCDONALD'S CORPORATION,24.39,46.11,26.6,52.3,MED,-0.10018177269298134,-0.14315374989761043,0.0,248.24000549316406,USD,Consumer Cyclical,S11 Konsum,Restaurants,pillar,0.18588740586847374,0.25788391233202246,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,78,198,0.3939393939393939,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,RR.L,ROLLS-ROYCE HOLDINGS PLC,27.54,52.28,30.68,59.4,MED,0.006146603421876673,0.11115183752584135,0.0,1450.0,GBp,Industrials,S20 Sicherheit & Verteidigung,Aerospace & Defense,pillar,0.3697163237928453,0.19394848747118054,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R4,github-35528192164-1,v1,45,198,0.22727272727272727,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,SPCX,SPACE EXPLORATION TECHNOLOGIES CORP.,19.56,49.33,59.58,40.9,LOW,-0.038006466660281735,,0.0,152.7100067138672,USD,Industrials,S20 Sicherheit & Verteidigung,Aerospace & Defense,pillar,0.9080150336038103,0.48781873808752996,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,119,198,0.601010101010101,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,AVAV,"AeroVironment, Inc.",17.17,48.01,66.85,36.9,LOW,0.03118020006236244,-0.2270587117952383,0.0,159.9499969482422,USD,Industrials,S20 Sicherheit & Verteidigung,Aerospace & Defense,pillar,0.7614869499485195,0.6664958710831659,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,141,198,0.7121212121212122,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,OCGN,"Ocugen, Inc.",12.91,43.21,72.27,32.5,LOW,-0.20407596776774328,-0.2959898362865615,0.0,1.059999942779541,USD,Healthcare,S13 Gesundheit,Biotechnology,pillar,0.8207427458516701,0.5991935443555652,,,,,bull,bull,0.0690614086857908,0.1506120285518029,R1,github-35528192164-1,v1,167,198,0.8434343434343434,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
