row_index,date,symbol,name,status,detail,mapped_yahoo,metric,value,method
,,CRYPTO:ADA,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:BTC,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:DOGE,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:ETH,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:SOL,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:XRP,,yahoo_fetch_failed,No usable daily history returned,,,,
,,DV.V,,yahoo_fetch_failed,No usable daily history returned,,,,
,,SLVR.V,,yahoo_fetch_failed,No usable daily history returned,,,,
540,2026-03-01,MELI,,filled,,MELI,drawdown,0.3339225204260866,dd_calendar_1y
541,2026-03-01,META,,filled,,META,volatility,0.025014365029279402,vol_1y
541,2026-03-01,META,,filled,,META,drawdown,0.26106122340672044,dd_calendar_1y
542,2026-03-01,MSFT,,filled,,MSFT,volatility,0.016802178731231788,vol_1y
542,2026-03-01,MSFT,,filled,,MSFT,drawdown,0.2877879592652709,dd_calendar_1y
543,2026-03-01,MU,,filled,,MU,volatility,0.040031849984376214,vol_1y
543,2026-03-01,MU,,filled,,MU,drawdown,0.37150357298893755,dd_calendar_1y
544,2026-03-01,NDA.DE,,filled,,NDA.DE,volatility,0.020565885836335406,vol_1y
544,2026-03-01,NDA.DE,,filled,,NDA.DE,drawdown,0.21657199790188986,dd_calendar_1y
545,2026-03-01,NESN.SW,,filled,,NESN.SW,volatility,0.012846253921804234,vol_1y
545,2026-03-01,NESN.SW,,filled,,NESN.SW,drawdown,0.19963921664251094,dd_calendar_1y
546,2026-03-01,NRDS,,filled,,NRDS,volatility,0.035538299334715605,vol_1y
546,2026-03-01,NRDS,,filled,,NRDS,drawdown,0.42435656618822903,dd_calendar_1y
547,2026-03-01,NVDA,,filled,,NVDA,volatility,0.026972896811349265,vol_1y
547,2026-03-01,NVDA,,filled,,NVDA,drawdown,0.22487058234236967,dd_calendar_1y
548,2026-03-01,NXP,,filled,,NXP,volatility,0.0044408254232408875,vol_1y
548,2026-03-01,NXP,,filled,,NXP,drawdown,0.07054897160827378,dd_calendar_1y
549,2026-03-01,ON,,filled,,ON,volatility,0.0365785027196634,vol_1y
549,2026-03-01,ON,,filled,,ON,drawdown,0.3127554396768708,dd_calendar_1y
550,2026-03-01,ORCL,,filled,,ORCL,volatility,0.03896965540499212,vol_1y
550,2026-03-01,ORCL,,filled,,ORCL,drawdown,0.5824985722645646,dd_calendar_1y
551,2026-03-01,OXY,,filled,,OXY,volatility,0.02411748005483148,vol_1y
551,2026-03-01,OXY,,filled,,OXY,drawdown,0.2741708323885549,dd_calendar_1y
552,2026-03-01,PEP,,filled,,PEP,volatility,0.014226444127766217,vol_1y
552,2026-03-01,PEP,,filled,,PEP,drawdown,0.17791984375301473,dd_calendar_1y
553,2026-03-01,PG,,filled,,PG,volatility,0.011707712484812375,vol_1y
553,2026-03-01,PG,,filled,,PG,drawdown,0.20101954364574204,dd_calendar_1y
554,2026-03-01,PGY,,filled,,PGY,volatility,0.05464100457181598,vol_1y
554,2026-03-01,PGY,,filled,,PGY,drawdown,0.757133074416896,dd_calendar_1y
555,2026-03-01,PKX,,filled,,PKX,volatility,0.02592933270861861,vol_1y
555,2026-03-01,PKX,,filled,,PKX,drawdown,0.25573480196403753,dd_calendar_1y
556,2026-03-01,PL,,filled,,PL,volatility,0.06513016654061551,vol_1y
556,2026-03-01,PL,,filled,,PL,drawdown,0.32420092218997587,dd_calendar_1y
557,2026-03-01,PLTR,,filled,,PLTR,volatility,0.038330909065861986,vol_1y
557,2026-03-01,PLTR,,filled,,PLTR,drawdown,0.378125297361536,dd_calendar_1y
558,2026-03-01,PM,,filled,,PM,volatility,0.01552956828477395,vol_1y
558,2026-03-01,PM,,filled,,PM,drawdown,0.2063634457729916,dd_calendar_1y
559,2026-03-01,PPTA,,filled,,PPTA,volatility,0.05110213055296724,vol_1y
559,2026-03-01,PPTA,,filled,,PPTA,drawdown,0.3172136393978049,dd_calendar_1y
560,2026-03-01,QBTS,,filled,,QBTS,volatility,0.08261394749642301,vol_1y
560,2026-03-01,QBTS,,filled,,QBTS,drawdown,0.6156766513260972,dd_calendar_1y
561,2026-03-01,QS,,filled,,QS,volatility,0.06532118202669082,vol_1y
561,2026-03-01,QS,,filled,,QS,drawdown,0.6285249617004612,dd_calendar_1y
562,2026-03-01,RCAT,,filled,,RCAT,volatility,0.07369136998486779,vol_1y
562,2026-03-01,RCAT,,filled,,RCAT,drawdown,0.6007802457218128,dd_calendar_1y
563,2026-03-01,RGTI,,filled,,RGTI,volatility,0.07302235527626595,vol_1y
563,2026-03-01,RGTI,,filled,,RGTI,drawdown,0.7342030468421666,dd_calendar_1y
564,2026-03-01,RHM.DE,,filled,,RHM.DE,volatility,0.029254925667354697,vol_1y
564,2026-03-01,RHM.DE,,filled,,RHM.DE,drawdown,0.27432738017293035,dd_calendar_1y
565,2026-03-01,RKLB,,filled,,RKLB,volatility,0.05345020998898207,vol_1y
565,2026-03-01,RKLB,,filled,,RKLB,drawdown,0.43005628041721455,dd_calendar_1y
566,2026-03-01,ROK,,filled,,ROK,volatility,0.020346956052112012,vol_1y
566,2026-03-01,ROK,,filled,,ROK,drawdown,0.21411907349832193,dd_calendar_1y
567,2026-03-01,SAP.DE,,filled,,SAP.DE,volatility,0.02248526004093682,vol_1y
567,2026-03-01,SAP.DE,,filled,,SAP.DE,drawdown,0.39555721903902796,dd_calendar_1y
568,2026-03-01,SMX,,filled,,SMX,volatility,0.3881886168891079,vol_1y
568,2026-03-01,SMX,,filled,,SMX,drawdown,0.998688952613358,dd_calendar_1y
569,2026-03-01,SNN,,filled,,SNN,volatility,0.01852217621709826,vol_1y
569,2026-03-01,SNN,,filled,,SNN,drawdown,0.16887000070223646,dd_calendar_1y
570,2026-03-01,SNOW,,filled,,SNOW,volatility,0.03327148752123656,vol_1y
570,2026-03-01,SNOW,,filled,,SNOW,drawdown,0.4345457226281102,dd_calendar_1y
571,2026-03-01,STLA,,filled,,STLA,volatility,0.036525636113524225,vol_1y
571,2026-03-01,STLA,,filled,,STLA,drawdown,0.39933991101085464,dd_calendar_1y
572,2026-03-01,SYK,,filled,,SYK,volatility,0.013958360014502359,vol_1y
572,2026-03-01,SYK,,filled,,SYK,drawdown,0.1454185684799515,dd_calendar_1y
573,2026-03-01,SYM,,filled,,SYM,volatility,0.059263348453171064,vol_1y
573,2026-03-01,SYM,,filled,,SYM,drawdown,0.38739979756324316,dd_calendar_1y
574,2026-03-01,TEM,,filled,,TEM,volatility,0.0498771950620706,vol_1y
574,2026-03-01,TEM,,filled,,TEM,drawdown,0.5081840311932506,dd_calendar_1y
575,2026-03-01,TER,,filled,,TER,volatility,0.03902386377628072,vol_1y
575,2026-03-01,TER,,filled,,TER,drawdown,0.38335907073873954,dd_calendar_1y
576,2026-03-01,TME,,filled,,TME,volatility,0.029129492609778665,vol_1y
576,2026-03-01,TME,,filled,,TME,drawdown,0.44613049314853537,dd_calendar_1y
577,2026-03-01,TSLA,,filled,,TSLA,volatility,0.03827294769071773,vol_1y
577,2026-03-01,TSLA,,filled,,TSLA,drawdown,0.23002710719979258,dd_calendar_1y
578,2026-03-01,TTAN,,filled,,TTAN,volatility,0.03266647655981406,vol_1y
578,2026-03-01,TTAN,,filled,,TTAN,drawdown,0.5304939014379142,dd_calendar_1y
579,2026-03-01,UEC,,filled,,UEC,volatility,0.0471227146033284,vol_1y
579,2026-03-01,UEC,,filled,,UEC,drawdown,0.3488650079113951,dd_calendar_1y
580,2026-03-01,UMI.BR,,filled,,UMI.BR,volatility,0.028947734981351878,vol_1y
580,2026-03-01,UMI.BR,,filled,,UMI.BR,drawdown,0.2679803009997853,dd_calendar_1y
581,2026-03-01,US1344291091,,filled,,CPB,volatility,0.017988329721792665,vol_1y
581,2026-03-01,US1344291091,,filled,,CPB,drawdown,0.35342922034891044,dd_calendar_1y
582,2026-03-01,US15135B1017,,filled,,CNC,volatility,0.0377548288325219,vol_1y
582,2026-03-01,US15135B1017,,filled,,CNC,drawdown,0.6078706062300907,dd_calendar_1y
583,2026-03-01,US19260Q1076,,filled,,COIN,volatility,0.0480576655023675,vol_1y
583,2026-03-01,US19260Q1076,,filled,,COIN,drawdown,0.6638953815137105,dd_calendar_1y
584,2026-03-01,US34379V1035,,filled,,FLNC,volatility,0.0692423498379346,vol_1y
584,2026-03-01,US34379V1035,,filled,,FLNC,drawdown,0.5178405155889505,dd_calendar_1y
585,2026-03-01,US4227041062,,filled,,HL,volatility,0.04513075907465142,vol_1y
